id,name,
1,Gummidipundi,Tiruvallur
2,Ponneri  ,Tiruvallur
3,Tiruttani,Tiruvallur
4,Thiruvallur,Tiruvallur
5,Poonamallee  ,Tiruvallur
6,Avadi,Tiruvallur
7,Maduravoyal,Tiruvallur
8,Ambattur,Tiruvallur
9,Madavaram,Tiruvallur
10,Thiruvottiyur,Tiruvallur
11,Dr.Radhakrishnan Nagar,Chennai
12,Perambur,Chennai
13,Kolathur,Chennai
14,Villivakkam,Chennai
15,Thiru. Vi. Ka. Nagar  ,Chennai
16,Egmore  ,Chennai
17,Royapuram,Chennai
18,Harbour,Chennai
19,Chepauk-Thiruvallikeni,Chennai
20,Thousand Lights,Chennai
21,Anna Nagar,Chennai
22,Virugambakkam,Chennai
23,Saidapet,Chennai
24,T. Nagar,Chennai
25,Mylapore,Chennai
26,Velachery,Chennai
27,Sholinganallur,Kanchipuram
28,Thiruporur,Kanchipuram
29,Alandur,Kanchipuram
30,Pallavaram,Kanchipuram
31,Tambaram,Kanchipuram
32,Chengalpattu,Kanchipuram
33,Uthiramerur,Kanchipuram
34,Kanchipuram,Kanchipuram
35,Sriperumbudur  ,Kanchipuram
36,Madurantakam  ,Kanchipuram
37,Cheyyur  ,Kanchipuram
38,Arakkonam  ,Vellore
39,Sholingur,Vellore
40,Katpadi,Vellore
41,Ranipet,Vellore
42,Arcot,Vellore
43,Vellore,Vellore
44,Anaikattu,Vellore
45,K. V. Kuppam  ,Vellore
46,Gudiyattam  ,Vellore
47,Vaniyambadi,Vellore
48,Ambur,Vellore
49,Jolarpet,Vellore
50,Tirupattur,Vellore
51,Uthangarai  ,Krishnagiri
52,Bargur,Krishnagiri
53,Krishnagiri,Krishnagiri
54,Veppanahalli,Krishnagiri
55,Hosur,Krishnagiri
56,Thalli,Krishnagiri
57,Palacodu,Dharmapuri
58,Pennagaram,Dharmapuri
59,Dharmapuri,Dharmapuri
60,Pappireddippatti,Dharmapuri
61,Harur  ,Dharmapuri
62,Chengam  ,Tiruvannamalai
63,Tiruvannamalai,Tiruvannamalai
64,Kilpennathur,Tiruvannamalai
65,Kalasapakkam,Tiruvannamalai
66,Polur,Tiruvannamalai
67,Arani,Tiruvannamalai
68,Cheyyar,Tiruvannamalai
69,Vandavasi  ,Tiruvannamalai
70,Gingee,Viluppuram
71,Mailam,Viluppuram
72,Tindivanam  ,Viluppuram
73,Vanur  ,Viluppuram
74,Villupuram,Viluppuram
75,Vikravandi,Viluppuram
